code,location,registered,envelopes,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Strana zelených,Volte Pr.Blok www.cibulka.net,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
500054,Praha 1,21556,14167,14036,14,13,392,44,2770,41,1,774,6,241,514,12,2332,657,9
500224,Praha 10,79964,52277,51895,35,34,2485,67,8137,230,17,2334,15,1050,1212,50,9355,3175,40
547034,Praha 11,58353,39306,39116,29,18,2310,57,5100,192,17,1548,13,846,757,30,6763,2513,48
547107,Praha 12,42205,28561,28428,21,13,1774,41,4095,160,11,1146,18,601,544,23,5034,1750,24
539694,Praha 13,42687,28376,28221,27,15,1273,43,4444,123,12,1409,92,742,631,15,5410,1601,24
547361,Praha 14,32506,20139,20018,25,16,929,34,3004,124,7,817,10,470,401,14,3561,1193,39
547387,Praha 15,24276,16282,16200,21,18,713,22,2544,67,13,702,6,364,318,13,2886,905,17
539601,Praha 16,6143,4377,4346,6,3,181,6,865,28,6,210,8,89,55,6,772,211,6
547174,Praha 17,18223,11882,11826,7,14,712,23,1659,50,2,552,5,270,228,5,2115,727,35
547417,Praha 18,12641,8295,8235,7,5,397,12,1224,48,5,348,1,233,168,3,1372,520,5
547344,Praha 19,4815,3496,3471,2,0,175,8,630,25,1,199,1,77,60,1,546,212,11
500089,Praha 2,32641,21007,20814,14,18,587,37,3859,58,11,1086,8,472,688,20,3871,991,15
538213,Praha 20,11243,7986,7944,9,2,544,21,1293,72,5,373,0,134,137,6,1303,458,11
538949,Praha 21,7512,5511,5497,3,1,201,5,1163,19,1,224,1,101,68,5,913,268,2
538931,Praha 22,7355,5090,5067,6,3,167,14,971,33,1,332,1,142,100,0,852,256,11
